Flight_ID,Airline,Departure_City,Arrival_City,Departure_Time,Arrival_Time,Flight_Type,Aircraft_Type,Seats_Available,Price,Meal_Option,Flight_Status,Gate_Number,Gate_Type,Duration (hrs),Baggage_Allowance,Cancellation_Policy,Seat_Class,WiFi_Available,Entertainment_Options,Loyalty_Points_Earned,Layovers,Boarding_Group,Eco_Friendly_Flight,Crew_Language_Support,Inflight_Services,Seat_Availability,Ticket_Flexibility,Discounts_Available,Customer_Rating
1,Southwest,Los Angeles,Charlotte,08:00 AM,12:00 PM,Domestic,Airbus A320,15,241,None,On Time,42,Domestic,11.8,30kg,Non-refundable,First Class,No,Movies & TV,1803,3+ Stops,Group A,No,Spanish,None,Limited Availability,Fully Flexible,Frequent Flyer Discount,4.8
2,Frontier,Los Angeles,Boston,02:00 PM,06:00 AM,Domestic,Airbus A350,10,744,Gluten-Free,Cancelled,18,International,8.5,Unlimited,Refundable with Fee,Premium Economy,No,Games,3604,1 Stop,Group B,No,Spanish,Priority Boarding,Limited Availability,Fully Flexible,Student Discount,3.5
3,Southwest,Denver,Boston,08:00 AM,08:00 PM,International,Airbus A320,8,265,None,On Time,31,Domestic,5.1,30kg,Refundable with Fee,Business,No,Games,2624,2 Stops,Group D,No,English,Extra Legroom,Available,Non-Changeable,Military Discount,4.2
4,Delta,Houston,New York,10:00 AM,02:00 PM,Domestic,Boeing 777,7,399,Non-Vegetarian,On Time,6,Domestic,4.8,25kg,Refundable with Fee,First Class,No,Games,4189,3+ Stops,Group C,No,Chinese,Complimentary Drinks,Fully Booked,Changeable with Fee,Senior Citizen Discount,4.2
5,Frontier,Seattle,Washington D.C.,08:00 AM,08:00 AM,International,Boeing 737,14,418,Vegan,Delayed,45,International,2.3,25kg,Non-refundable,Premium Economy,Yes,Music,4004,2 Stops,Group B,No,Spanish,Priority Boarding,Available,Fully Flexible,Military Discount,4.3
6,Southwest,Washington D.C.,Seattle,12:00 PM,04:00 PM,Domestic,Embraer E190,20,618,None,Delayed,30,Domestic,6.4,15kg,Fully Refundable,Premium Economy,Yes,Games,4745,3+ Stops,Group D,Yes,Chinese,Extra Legroom,Limited Availability,Non-Changeable,Frequent Flyer Discount,4.1
7,JetBlue,Denver,Seattle,06:00 AM,06:00 AM,International,Boeing 777,26,731,None,On Time,48,International,9.6,25kg,Non-refundable,Premium Economy,Yes,Games,2648,3+ Stops,Group B,No,French,Sleep Kit,Limited Availability,Changeable with Fee,None,4.4
8,Frontier,Los Angeles,Miami,10:00 AM,12:00 PM,Domestic,Boeing 777,10,480,Vegetarian,On Time,2,Domestic,6.4,25kg,Non-refundable,Premium Economy,No,Games,1584,None,Group D,Yes,Spanish,Complimentary Drinks,Available,Changeable with Fee,Frequent Flyer Discount,4.9
9,American,Atlanta,Orlando,06:00 AM,02:00 PM,Domestic,Boeing 737,20,276,Non-Vegetarian,Cancelled,11,International,11.5,30kg,Fully Refundable,Business,Yes,None,4163,3+ Stops,Group A,No,French,None,Limited Availability,Non-Changeable,Military Discount,3.4
10,Southwest,Miami,Washington D.C.,04:00 PM,10:00 AM,Domestic,Boeing 777,9,127,Vegan,On Time,39,Domestic,5.3,15kg,Fully Refundable,Premium Economy,No,Music,2619,3+ Stops,Group D,Yes,Multilingual,None,Available,Changeable with Fee,Student Discount,3.0
